Code,Name,Continent,Region,SurfaceArea,IndepYear,Population,LifeExpectancy,GNP,GNPOld,LocalName,GovernmentForm,HeadOfState,Capital,Code2
BGD,Bangladesh,Asia,"Southern and Central Asia",143998.00,1971,129155000,60.2,32852.00,31966.00,Bangladesh,Republic,"Shahabuddin Ahmad",150,BD
BRA,Brazil,"South America","South America",8547403.00,1822,170115000,62.9,776739.00,804108.00,Brasil,"Federal Republic","Fernando Henrique Cardoso",211,BR
CHN,China,Asia,"Eastern Asia",9572900.00,-1523,1277558000,71.4,982268.00,917719.00,Zhongquo,People'sRepublic,"Jiang Zemin",1891,CN
IDN,Indonesia,Asia,"Southeast Asia",1904569.00,1945,212107000,68.0,84982.00,215002.00,Indonesia,Republic,"Abdurrahman Wahid",939,ID
IND,India,Asia,"Southern and Central Asia",3287263.00,1947,1013662000,62.5,447114.00,430572.00,Bharat/India,"Federal Republic","Kocheril Raman Narayanan",1109,IN
JPN,Japan,Asia,"Eastern Asia",377829.00,-660,126714000,80.7,3787042.00,4192638.00,Nihon/Nippon,"Constitutional Monarchy",Akihito,1532,JP
NGA,Nigeria,Africa,"Western Africa",923768.00,1960,111506000,51.6,65707.00,58623.00,Nigeria,"Federal Republic","Olusegun Obasanjo",2754,NG
PAK,Pakistan,Asia,"Southern and Central Asia",796095.00,1947,156483000,61.1,61289.00,58549.00,Pakistan,Republic,"Mohammad Rafiq Tarar",2831,PK
RUS,"Russian Federation",Europe,"Eastern Europe",17075400.00,1991,146934000,67.2,276608.00,442989.00,Rossija,"Federal Republic","Vladimir Putin",3580,RU
USA,"United States","North America","North America",9363520.00,1776,278357000,77.1,8510700.00,8110900.00,"United States","Federal Republic","George W. Bush",3813,US
